point_code,name,lat,lon,altitude,nx,ny,region_id,distance_km,network
778,유치,34.79594,126.8218,96,58,66,45,10.0,kma_aws
779,한림,33.39268,126.25809,38,48,36,222,26.9,kma_aws
780,제주남원,33.27718,126.70438,25,56,33,223,15.0,kma_aws
781,구좌,33.5199,126.8777,17,59,38,222,30.0,kma_aws
782,성판악,33.38514,126.6194,760,54,35,223,11.2,kma_aws
783,과기원,35.23027,126.84077,30,58,76,34,7.1,kma_aws
784,시종,34.87718,126.61258,22,54,68,45,14.1,kma_aws
785,북일,34.46383,126.6763,13,55,59,44,11.2,kma_aws
786,돌산,34.63811,127.77409,17,75,63,27,18.0,kma_aws
787,도화,34.50672,127.31716,12,67,60,39,11.2,kma_aws
788,풍암,35.13159,126.88132,65,59,74,32,0.0,kma_aws
789,압해도,34.87643,126.2929,8,48,68,26,11.2,kma_aws
790,나로도,34.53258,127.46735,135,69,61,39,15.8,kma_aws
791,피아골,35.26621,127.58376,410,71,77,38,14.1,kma_aws
792,표선,33.36302,126.81839,89,58,35,223,26.9,kma_aws
793,대정,33.24101,126.22626,2,47,32,223,30.4,kma_aws
794,황전,35.10066,127.42739,76,68,73,38,11.2,kma_aws
795,옥과,35.27532,127.13899,86,63,77,254,10.0,kma_aws
796,초도,34.23775,127.24476,37,66,54,39,40.0,kma_aws
797,하태도,34.39498,125.29953,35,30,58,,90.1,kma_aws
798,홍도,34.68551,125.19236,23,28,64,,103.1,kma_aws
799,낙월도,35.20198,126.13494,19,45,75,48,36.4,kma_aws
800,평해,36.72566,129.44368,6,103,110,198,25.5,kma_aws
801,영양,36.62497,129.088,217,97,107,190,5.0,kma_aws
802,온정,36.75743,129.34008,142,101,110,190,22.4,kma_aws
803,옥산,36.3947,128.81147,219,92,102,188,11.2,kma_aws
804,청하,36.19056,129.33921,37,102,98,178,15.0,kma_aws
805,죽장,36.17929,129.09434,227,97,98,189,25.5,kma_aws
806,선산,36.23336,128.2903,41,83,98,182,11.2,kma_aws
807,의흥,36.17966,128.69318,114,90,97,77,14.1,kma_aws
808,호미곶,36.07597,129.56673,11,106,96,178,20.6,kma_aws
809,대덕,35.93544,127.97919,205,78,92,180,22.4,kma_aws
810,성주,35.92552,128.2985,39,84,92,194,7.1,kma_aws
811,황성,35.86299,129.20929,32,100,91,179,0.0,kma_aws
812,고령,35.69603,128.28214,41,83,87,193,0.0,kma_aws
813,청도,35.65404,128.73183,77,91,86,192,0.0,kma_aws
814,부석,36.97916,128.66103,302,89,115,197,11.2,kma_aws
815,예천,36.65996,128.46461,102,86,108,196,5.0,kma_aws
816,구룡포,35.9831,129.5475,42,105,94,177,15.0,kma_aws
817,수비,36.78267,129.22121,381,99,111,190,18.0,kma_aws
818,마성,36.70781,128.14792,217,80,108,186,11.2,kma_aws
819,예안,36.65875,128.88641,203,93,108,181,14.1,kma_aws
820,하회,36.54819,128.52665,75,87,105,196,11.2,kma_aws
821,공성,36.28187,128.07393,91,79,99,180,15.8,kma_aws
822,김천,36.11987,128.1552,79,81,96,180,5.0,kma_aws
823,군위,36.24934,128.55577,81,88,99,77,0.0,kma_aws
824,가산,36.0956,128.50008,115,87,95,195,14.1,kma_aws
825,칠곡,36.03977,128.3813,29,85,94,195,5.0,kma_aws
826,신녕,36.04709,128.79003,131,92,94,184,15.8,kma_aws
827,경산,35.82425,128.743,61,91,90,187,0.0,kma_aws
828,달성,35.69018,128.42384,24,86,86,76,10.0,kma_aws
829,외동,35.71214,129.31815,72,102,88,97,15.8,kma_aws
830,기계,36.06887,129.19957,45,99,95,178,15.0,kma_aws
831,석포,37.04012,128.99708,663,95,116,228,15.0,kma_aws
832,단북,36.39066,128.42855,67,86,102,77,18.0,kma_aws
833,은척,36.53829,128.04189,174,79,105,186,11.2,kma_aws
834,화서,36.44122,127.9442,284,77,103,153,20.0,kma_aws
835,봉화읍,36.89316,128.71601,185,90,113,197,0.0,kma_aws
836,현서,36.27943,128.89601,316,94,100,189,18.0,kma_aws
837,이산,36.8268,128.6429,187,89,111,183,0.0,kma_aws
838,동로,36.79066,128.27046,451,82,110,186,20.6,kma_aws
839,길안,36.45834,128.89544,129,94,103,189,10.0,kma_aws
840,하양,35.9126,128.8144,71,93,92,184,11.2,kma_aws
841,화북,36.08494,128.91106,138,94,95,184,11.2,kma_aws
842,산내,35.7576,129.011,170,96,88,179,25.0,kma_aws
843,금강송,36.93611,129.25013,220,99,114,198,15.8,kma_aws
844,영덕읍,36.43551,129.35859,22,102,103,191,0.0,kma_aws
845,대구북구,35.90842,128.59068,30,89,91,73,0.0,kma_aws
846,대구서구,35.86509,128.53095,76,88,90,71,0.0,kma_aws
847,소보,36.27623,128.46637,70,86,99,77,10.0,kma_aws
848,청도금천,35.67916,128.89534,104,94,87,192,15.8,kma_aws
849,지보,36.54689,128.3871,85,85,105,196,11.2,kma_aws
850,감포,35.78471,129.49062,6,105,89,97,22.4,kma_aws
851,소곡,37.05137,129.35206,79,101,117,198,11.2,kma_aws
852,죽변,37.0606,129.426,41,102,117,198,10.0,kma_aws
853,팔공산,36.01827,128.62129,568,89,94,73,15.0,kma_aws
854,삼동,35.49528,129.13357,166,99,83,98,11.2,kma_aws
855,가파도,33.1733,126.26833,4,48,31,223,26.9,kma_aws
